Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,TotalGoals,prob_H_norm,prob_D_norm,prob_A_norm
2020-11-07,2020-21,Huesca,Eibar,1,1,D,14,8,6,3,4,3,2,0,0,0,2.05,3.3,3.6,2,0.4564841498559078,0.28357348703170027,0.25994236311239194
2020-11-07,2020-21,Barcelona,Betis,5,2,H,18,12,9,6,9,5,2,2,0,1,1.4,5.0,7.5,7,0.6818181818181818,0.19090909090909092,0.12727272727272726
2020-11-07,2020-21,Sevilla,Osasuna,1,0,H,9,10,1,2,3,0,2,3,0,0,1.5,4.0,7.0,1,0.6292134831460674,0.23595505617977527,0.1348314606741573
2020-11-07,2020-21,Ath Madrid,Cadiz,4,0,H,17,10,7,3,2,7,1,1,0,0,1.4,4.2,10.0,4,0.6787330316742082,0.2262443438914027,0.09502262443438914
2020-11-08,2020-21,Getafe,Villarreal,1,3,A,13,9,5,5,3,3,3,4,0,0,2.5,3.1,3.0,4,0.3788187372708758,0.3054989816700611,0.3156822810590631
2020-11-08,2020-21,Sociedad,Granada,2,0,H,22,2,9,1,15,0,2,1,1,0,1.65,3.8,5.25,2,0.571920017200602,0.24833369167920874,0.1797462911201892
2020-11-08,2020-21,Levante,Alaves,1,1,D,18,6,5,2,12,1,1,6,0,1,2.15,3.4,3.4,2,0.44155844155844154,0.2792207792207792,0.2792207792207792
2020-11-08,2020-21,Valladolid,Ath Bilbao,2,1,H,7,17,4,2,2,11,4,2,0,0,3.3,2.9,2.37,3,0.28325914935707225,0.32232937685459945,0.39441147378832836
2020-11-08,2020-21,Valencia,Real Madrid,4,1,H,7,16,4,6,1,8,3,2,0,0,6.0,4.75,1.45,5,0.15622341933654663,0.1973348454777431,0.6464417351857102
2020-11-20,2020-21,Osasuna,Huesca,1,1,D,18,6,7,5,4,3,2,3,0,0,2.4,3.0,3.25,2,0.393939393939394,0.3151515151515151,0.2909090909090909
