Date,Season,League,HomeTeam,AwayTeam,FTHG,FTAG,FTR,diff_avg_points,diff_avg_goals_scored,diff_avg_goals_conceded,diff_table_position,diff_days_rest,home_attack_vs_away_defense,away_attack_vs_home_defense,home_avg_goals_scored,home_avg_goals_conceded,home_win_rate,home_clean_sheet_rate,home_table_position,away_avg_goals_scored,away_avg_goals_conceded,away_win_rate,away_clean_sheet_rate,away_table_position,home_matchday,league_Bundesliga,league_La Liga,league_Ligue 1,league_Premier League,league_Serie A,B365H,B365D,B365A
2022-10-22,2022-23,Bundesliga,Augsburg,RB Leipzig,3,3,D,0.0,-0.6000000000000001,0.0,1.0,-1.0,0.40000000000000013,1.0000000000000002,1.6,1.2,0.6,0.4,12.0,2.2,1.2,0.6,0.4,11.0,11,True,False,False,False,False,5.5,4.33,1.57
2022-11-05,2022-23,Bundesliga,Augsburg,Ein Frankfurt,1,2,A,-0.8,-0.20000000000000018,0.8000000000000003,8.0,0.0,0.6000000000000001,0.0,2.0,2.2,0.2,0.0,13.0,2.2,1.4,0.6,0.2,5.0,13,True,False,False,False,False,4.33,4.0,1.72
2022-11-12,2022-23,Bundesliga,Augsburg,Bochum,0,1,A,-0.7999999999999999,0.8,-0.20000000000000018,-3.0,-1.0,-0.8,-1.4,1.8,2.4,0.0,0.0,14.0,1.0,2.6,0.4,0.0,17.0,15,True,False,False,False,False,2.2,3.5,3.2
2023-01-25,2022-23,Bundesliga,Augsburg,M'gladbach,1,0,H,-1.0,-0.8000000000000003,0.20000000000000018,8.0,0.0,-0.6000000000000001,0.0,1.4,2.2,0.0,0.0,16.0,2.2,2.0,0.4,0.0,8.0,17,True,False,False,False,False,3.0,3.6,2.25
2023-02-03,2022-23,Bundesliga,Augsburg,Leverkusen,1,0,H,-1.5999999999999999,-0.40000000000000013,1.0,5.0,1.0,0.3999999999999999,-0.19999999999999996,1.4,2.0,0.2,0.2,14.0,1.8,1.0,0.8,0.4,9.0,19,True,False,False,False,False,4.0,3.8,1.85
2023-02-17,2022-23,Bundesliga,Augsburg,Hoffenheim,1,0,H,1.0,0.0,-1.4,-1.0,0.0,-2.0,-0.6000000000000001,1.4,2.0,0.4,0.4,13.0,1.4,3.4,0.0,0.0,14.0,21,True,False,False,False,False,2.7,3.5,2.6
2023-03-04,2022-23,Bundesliga,Augsburg,Werder Bremen,2,1,H,-0.6000000000000001,-0.5999999999999999,0.6000000000000001,4.0,0.0,-0.19999999999999996,-0.20000000000000018,0.8,1.6,0.4,0.4,13.0,1.4,1.0,0.6,0.4,9.0,23,True,False,False,False,False,2.3,3.5,3.0
2023-03-18,2022-23,Bundesliga,Augsburg,Schalke 04,1,1,D,-0.6000000000000001,0.19999999999999996,1.6,-4.0,0.0,0.7999999999999999,-1.0000000000000002,1.4,2.2,0.4,0.2,13.0,1.2,0.6,0.4,0.6,17.0,25,True,False,False,False,False,2.3,3.4,3.1
2023-04-08,2022-23,Bundesliga,Augsburg,FC Koln,1,3,A,0.6,1.4000000000000001,0.20000000000000018,-1.0,1.0,-0.3999999999999999,-2.0,1.6,2.2,0.2,0.0,12.0,0.2,2.0,0.0,0.4,13.0,27,True,False,False,False,False,2.8,3.4,2.55
2023-04-21,2022-23,Bundesliga,Augsburg,Stuttgart,1,1,D,-0.6,0.40000000000000013,0.7999999999999998,-2.0,0.0,-0.19999999999999996,-1.4,1.8,2.8,0.0,0.0,14.0,1.4,2.0,0.2,0.0,16.0,29,True,False,False,False,False,3.2,3.6,2.15
